interaction_id,customer_id,channel,interaction_type,sentiment_score,interaction_date
00000000-0000-0000-0000-000000989680,00000000-0000-0000-0000-000000000a73,email,sales,0.7735,2023-08-07
00000000-0000-0000-0000-000000989681,00000000-0000-0000-0000-000000000fb4,chat,support,0.6797,2022-05-07
00000000-0000-0000-0000-000000989682,00000000-0000-0000-0000-0000000006fa,email,marketing,0.4015,2023-11-03
00000000-0000-0000-0000-000000989683,00000000-0000-0000-0000-000000000855,web,support,0.8121,2023-05-28
00000000-0000-0000-0000-000000989684,00000000-0000-0000-0000-000000000077,email,sales,0.0157,2023-06-19
00000000-0000-0000-0000-000000989685,00000000-0000-0000-0000-000000001037,web,sales,0.3161,2022-01-27
00000000-0000-0000-0000-000000989686,00000000-0000-0000-0000-000000000c10,web,marketing,0.6204,2022-02-17
00000000-0000-0000-0000-000000989687,00000000-0000-0000-0000-000000001290,web,sales,0.5113,2023-06-30
00000000-0000-0000-0000-000000989688,00000000-0000-0000-0000-000000000b18,phone,support,0.1658,2022-11-04
00000000-0000-0000-0000-000000989689,00000000-0000-0000-0000-00000000062f,phone,sales,0.8012,2022-10-05
00000000-0000-0000-0000-00000098968a,00000000-0000-0000-0000-000000000d7e,web,support,0.798,2023-12-07
00000000-0000-0000-0000-00000098968b,00000000-0000-0000-0000-0000000010b3,chat,marketing,0.5717,2022-11-07
00000000-0000-0000-0000-00000098968c,00000000-0000-0000-0000-00000000084f,phone,marketing,0.3238,2022-06-11
00000000-0000-0000-0000-00000098968d,00000000-0000-0000-0000-00000000052c,phone,marketing,0.0793,2022-09-25
00000000-0000-0000-0000-00000098968e,00000000-0000-0000-0000-000000000a02,email,sales,0.8332,2022-02-23
00000000-0000-0000-0000-00000098968f,00000000-0000-0000-0000-00000000123f,email,marketing,0.3765,2022-06-10
00000000-0000-0000-0000-000000989690,00000000-0000-0000-0000-000000001004,chat,marketing,0.5406,2023-03-21
00000000-0000-0000-0000-000000989691,00000000-0000-0000-0000-0000000004fc,web,sales,0.9802,2022-10-19
00000000-0000-0000-0000-000000989692,00000000-0000-0000-0000-0000000006a7,chat,sales,0.2062,2022-10-08
00000000-0000-0000-0000-000000989693,00000000-0000-0000-0000-00000000019d,chat,marketing,0.1586,2022-08-11
00000000-0000-0000-0000-000000989694,00000000-0000-0000-0000-000000000642,email,support,0.7448,2023-11-09
00000000-0000-0000-0000-000000989695,00000000-0000-0000-0000-0000000012fa,chat,sales,0.8842,2023-01-29
